,ranking_date,rank,player,points,full_name
36467,2000-06-19,4,102856,3211.0,Gustavo Kuerten
36468,2000-06-19,5,102338,3016.0,Yevgeny Kafelnikov
38041,2000-06-26,1,101736,4375.0,Andre Agassi
38042,2000-06-26,2,102796,3522.0,Magnus Norman
38043,2000-06-26,3,101948,3261.0,Pete Sampras
38044,2000-06-26,4,102856,3211.0,Gustavo Kuerten
38045,2000-06-26,5,102338,3016.0,Yevgeny Kafelnikov
39637,2000-07-03,1,101736,4375.0,Andre Agassi
39638,2000-07-03,2,102796,3522.0,Magnus Norman
39639,2000-07-03,3,101948,3261.0,Pete Sampras
39640,2000-07-03,4,102856,3211.0,Gustavo Kuerten
39641,2000-07-03,5,102338,3016.0,Yevgeny Kafelnikov
41234,2000-07-10,1,101736,4223.0,Andre Agassi
41235,2000-07-10,2,102796,3495.0,Magnus Norman
41236,2000-07-10,3,101948,3458.0,Pete Sampras
41237,2000-07-10,4,102856,3118.0,Gustavo Kuerten
41238,2000-07-10,5,102338,2989.0,Yevgeny Kafelnikov
42819,2000-07-17,1,101736,4223.0,Andre Agassi
42820,2000-07-17,2,102796,3610.0,Magnus Norman
42821,2000-07-17,3,101948,3458.0,Pete Sampras
42822,2000-07-17,4,102856,3118.0,Gustavo Kuerten
42823,2000-07-17,5,102338,2989.0,Yevgeny Kafelnikov
44412,2000-07-24,1,101736,4223.0,Andre Agassi
44413,2000-07-24,2,101948,3458.0,Pete Sampras
44414,2000-07-24,3,102796,3358.0,Magnus Norman
44415,2000-07-24,4,102856,3118.0,Gustavo Kuerten
44416,2000-07-24,5,102338,2989.0,Yevgeny Kafelnikov
45991,2000-07-31,1,101736,4128.0,Andre Agassi
45992,2000-07-31,2,101948,3291.0,Pete Sampras
45993,2000-07-31,3,102796,3246.0,Magnus Norman
45994,2000-07-31,4,102856,3118.0,Gustavo Kuerten
45995,2000-07-31,5,102338,2959.0,Yevgeny Kafelnikov
47568,2000-08-07,1,101736,3991.0,Andre Agassi
47569,2000-08-07,2,101948,3416.0,Pete Sampras
47570,2000-08-07,3,102796,3205.0,Magnus Norman
47571,2000-08-07,4,102856,3148.0,Gustavo Kuerten
47572,2000-08-07,5,102338,2802.0,Yevgeny Kafelnikov
49039,2000-08-14,1,101736,3855.0,Andre Agassi
49040,2000-08-14,2,102856,3285.0,Gustavo Kuerten
49041,2000-08-14,3,102796,3180.0,Magnus Norman
49042,2000-08-14,4,101948,3085.0,Pete Sampras
49043,2000-08-14,5,102338,2701.0,Yevgeny Kafelnikov
50623,2000-08-21,1,101736,3754.0,Andre Agassi
50624,2000-08-21,2,102856,3473.0,Gustavo Kuerten
50625,2000-08-21,3,102796,3180.0,Magnus Norman
50626,2000-08-21,4,101948,3039.0,Pete Sampras
50627,2000-08-21,5,102338,2596.0,Yevgeny Kafelnikov
52201,2000-08-28,1,101736,3754.0,Andre Agassi
52202,2000-08-28,2,102856,3473.0,Gustavo Kuerten
52203,2000-08-28,3,102796,3161.0,Magnus Norman
52204,2000-08-28,4,101948,3039.0,Pete Sampras
52205,2000-08-28,5,102358,2615.0,Thomas Enqvist
53780,2000-09-04,1,101736,3754.0,Andre Agassi
53781,2000-09-04,2,102856,3473.0,Gustavo Kuerten
53782,2000-09-04,3,102796,3161.0,Magnus Norman
53783,2000-09-04,4,101948,3039.0,Pete Sampras
53784,2000-09-04,5,102358,2615.0,Thomas Enqvist
55359,2000-09-11,1,101948,3739.0,Pete Sampras
55360,2000-09-11,2,103498,3412.0,Marat Safin
55361,2000-09-11,3,102856,3283.0,Gustavo Kuerten
55362,2000-09-11,4,102796,3196.0,Magnus Norman
55363,2000-09-11,5,101736,3020.0,Andre Agassi
56926,2000-09-18,1,101948,3739.0,Pete Sampras
56927,2000-09-18,2,103498,3537.0,Marat Safin
56928,2000-09-18,3,102856,3283.0,Gustavo Kuerten
56929,2000-09-18,4,102796,3196.0,Magnus Norman
56930,2000-09-18,5,101736,3020.0,Andre Agassi
58521,2000-09-25,1,101948,3739.0,Pete Sampras
58522,2000-09-25,2,103498,3537.0,Marat Safin
58523,2000-09-25,3,102856,3283.0,Gustavo Kuerten
58524,2000-09-25,4,102796,3196.0,Magnus Norman
58525,2000-09-25,5,101736,3020.0,Andre Agassi
60118,2000-10-02,1,101948,3739.0,Pete Sampras
60119,2000-10-02,2,103498,3537.0,Marat Safin
60120,2000-10-02,3,102856,3358.0,Gustavo Kuerten
60121,2000-10-02,4,102796,3196.0,Magnus Norman
60122,2000-10-02,5,101736,3020.0,Andre Agassi
61745,2000-10-09,1,101948,3739.0,Pete Sampras
61746,2000-10-09,2,103498,3537.0,Marat Safin
61747,2000-10-09,3,102856,3358.0,Gustavo Kuerten
61748,2000-10-09,4,102796,3098.0,Magnus Norman
61749,2000-10-09,5,101736,2988.0,Andre Agassi
63386,2000-10-16,1,101948,3739.0,Pete Sampras
63387,2000-10-16,2,103498,3537.0,Marat Safin
63388,2000-10-16,3,102856,3372.0,Gustavo Kuerten
63389,2000-10-16,4,102796,3098.0,Magnus Norman
63390,2000-10-16,5,101736,2988.0,Andre Agassi
65010,2000-10-23,1,101948,3739.0,Pete Sampras
65011,2000-10-23,2,103498,3537.0,Marat Safin
65012,2000-10-23,3,102856,3363.0,Gustavo Kuerten
65013,2000-10-23,4,102796,3213.0,Magnus Norman
65014,2000-10-23,5,101736,2988.0,Andre Agassi
66637,2000-10-30,1,101948,3739.0,Pete Sampras
66638,2000-10-30,2,103498,3592.0,Marat Safin
66639,2000-10-30,3,102856,3357.0,Gustavo Kuerten
66640,2000-10-30,4,102796,3213.0,Magnus Norman
66641,2000-10-30,5,102338,2841.0,Yevgeny Kafelnikov
68267,2000-11-06,1,101948,3697.0,Pete Sampras
68268,2000-11-06,2,102856,3392.0,Gustavo Kuerten
68269,2000-11-06,3,103498,3380.0,Marat Safin
68270,2000-11-06,4,102796,3213.0,Magnus Norman
68271,2000-11-06,5,102338,2956.0,Yevgeny Kafelnikov
69895,2000-11-13,1,101948,3697.0,Pete Sampras
69896,2000-11-13,2,103498,3530.0,Marat Safin
69897,2000-11-13,3,102856,3392.0,Gustavo Kuerten
69898,2000-11-13,4,102796,3180.0,Magnus Norman
69899,2000-11-13,5,102338,2859.0,Yevgeny Kafelnikov
71523,2000-11-20,1,103498,3920.0,Marat Safin
71524,2000-11-20,2,101948,3697.0,Pete Sampras
71525,2000-11-20,3,102856,3557.0,Gustavo Kuerten
71526,2000-11-20,4,102796,3110.0,Magnus Norman
71527,2000-11-20,5,102338,2824.0,Yevgeny Kafelnikov
73142,2000-11-27,1,103498,3920.0,Marat Safin
73143,2000-11-27,2,102856,3545.0,Gustavo Kuerten
73144,2000-11-27,3,101948,3185.0,Pete Sampras
73145,2000-11-27,4,102796,3110.0,Magnus Norman
73146,2000-11-27,5,102338,2835.0,Yevgeny Kafelnikov
74761,2000-12-04,1,102856,4195.0,Gustavo Kuerten
74762,2000-12-04,2,103498,4120.0,Marat Safin
74763,2000-12-04,3,101948,3385.0,Pete Sampras
74764,2000-12-04,4,102796,3110.0,Magnus Norman
74765,2000-12-04,5,102338,2935.0,Yevgeny Kafelnikov
76375,2000-12-11,1,102856,4195.0,Gustavo Kuerten
76376,2000-12-11,2,103498,4120.0,Marat Safin
76377,2000-12-11,3,101948,3385.0,Pete Sampras
76378,2000-12-11,4,102796,3110.0,Magnus Norman
76379,2000-12-11,5,102338,2935.0,Yevgeny Kafelnikov
77981,2000-12-18,1,102856,4195.0,Gustavo Kuerten
77982,2000-12-18,2,103498,4120.0,Marat Safin
77983,2000-12-18,3,101948,3385.0,Pete Sampras
77984,2000-12-18,4,102796,3110.0,Magnus Norman
77985,2000-12-18,5,102338,2935.0,Yevgeny Kafelnikov
79588,2000-12-25,1,102856,4195.0,Gustavo Kuerten
79589,2000-12-25,2,103498,4120.0,Marat Safin
79590,2000-12-25,3,101948,3385.0,Pete Sampras
79591,2000-12-25,4,102796,3110.0,Magnus Norman
79592,2000-12-25,5,102338,2935.0,Yevgeny Kafelnikov
81194,2001-01-01,1,102856,4195.0,Gustavo Kuerten
81195,2001-01-01,2,103498,4120.0,Marat Safin
81196,2001-01-01,3,101948,3385.0,Pete Sampras
81197,2001-01-01,4,102796,3110.0,Magnus Norman
81198,2001-01-01,5,102338,2935.0,Yevgeny Kafelnikov
82800,2001-01-08,1,102856,4195.0,Gustavo Kuerten
82801,2001-01-08,2,103498,4120.0,Marat Safin
82802,2001-01-08,3,101948,3385.0,Pete Sampras
82803,2001-01-08,4,102796,3110.0,Magnus Norman
82804,2001-01-08,5,102338,2935.0,Yevgeny Kafelnikov
84406,2001-01-15,1,102856,4195.0,Gustavo Kuerten
84407,2001-01-15,2,103498,4120.0,Marat Safin
84408,2001-01-15,3,101948,3385.0,Pete Sampras
84409,2001-01-15,4,102796,3055.0,Magnus Norman
84410,2001-01-15,5,102338,2935.0,Yevgeny Kafelnikov
86012,2001-01-22,1,102856,4195.0,Gustavo Kuerten
86013,2001-01-22,2,103498,4120.0,Marat Safin
86014,2001-01-22,3,101948,3385.0,Pete Sampras
86015,2001-01-22,4,102796,3055.0,Magnus Norman
86016,2001-01-22,5,102338,2935.0,Yevgeny Kafelnikov
87617,2001-01-29,1,103498,4265.0,Marat Safin
87618,2001-01-29,2,102856,4225.0,Gustavo Kuerten
87619,2001-01-29,3,101948,3085.0,Pete Sampras
87620,2001-01-29,4,101736,2765.0,Andre Agassi
87621,2001-01-29,5,102796,2755.0,Magnus Norman
89218,2001-02-05,1,103498,4265.0,Marat Safin
89219,2001-02-05,2,102856,4225.0,Gustavo Kuerten
89220,2001-02-05,3,101948,3085.0,Pete Sampras
89221,2001-02-05,4,101736,2765.0,Andre Agassi
89222,2001-02-05,5,102796,2755.0,Magnus Norman
90820,2001-02-12,1,103498,4265.0,Marat Safin
90821,2001-02-12,2,102856,4225.0,Gustavo Kuerten
90822,2001-02-12,3,101948,3085.0,Pete Sampras
90823,2001-02-12,4,101736,2765.0,Andre Agassi
90824,2001-02-12,5,102796,2755.0,Magnus Norman
92416,2001-02-19,1,103498,4265.0,Marat Safin
92417,2001-02-19,2,102856,4225.0,Gustavo Kuerten
92418,2001-02-19,3,101948,3085.0,Pete Sampras
92419,2001-02-19,4,101736,2765.0,Andre Agassi
92420,2001-02-19,5,102796,2755.0,Magnus Norman
94006,2001-02-26,1,102856,4365.0,Gustavo Kuerten
94007,2001-02-26,2,103498,4265.0,Marat Safin
94008,2001-02-26,3,101948,3090.0,Pete Sampras
94009,2001-02-26,4,101736,2765.0,Andre Agassi
94010,2001-02-26,5,102796,2755.0,Magnus Norman
95604,2001-03-05,1,102856,4440.0,Gustavo Kuerten
95605,2001-03-05,2,103498,4300.0,Marat Safin
95606,2001-03-05,3,101948,3090.0,Pete Sampras
95607,2001-03-05,4,101736,2870.0,Andre Agassi
95608,2001-03-05,5,102796,2755.0,Magnus Norman
97208,2001-03-12,1,102856,4425.0,Gustavo Kuerten
97209,2001-03-12,2,103498,4300.0,Marat Safin
97210,2001-03-12,3,101948,3080.0,Pete Sampras
97211,2001-03-12,4,101736,2870.0,Andre Agassi
97212,2001-03-12,5,102796,2755.0,Magnus Norman
98804,2001-03-19,1,102856,4465.0,Gustavo Kuerten
98805,2001-03-19,2,103498,4270.0,Marat Safin
98806,2001-03-19,3,101736,3365.0,Andre Agassi
98807,2001-03-19,4,101948,3305.0,Pete Sampras
98808,2001-03-19,5,102338,2675.0,Yevgeny Kafelnikov
100398,2001-03-26,1,102856,4465.0,Gustavo Kuerten
100399,2001-03-26,2,103498,4270.0,Marat Safin
100400,2001-03-26,3,101736,3365.0,Andre Agassi
100401,2001-03-26,4,101948,3305.0,Pete Sampras
100402,2001-03-26,5,102338,2675.0,Yevgeny Kafelnikov
101991,2001-04-02,1,103498,4270.0,Marat Safin
101992,2001-04-02,2,102856,4150.0,Gustavo Kuerten
101993,2001-04-02,3,101736,3640.0,Andre Agassi
101994,2001-04-02,4,101948,2840.0,Pete Sampras
101995,2001-04-02,5,102796,2635.0,Magnus Norman
103583,2001-04-09,1,103498,4270.0,Marat Safin
103584,2001-04-09,2,102856,4150.0,Gustavo Kuerten
103585,2001-04-09,3,101736,3640.0,Andre Agassi
103586,2001-04-09,4,101948,2840.0,Pete Sampras
103587,2001-04-09,5,102796,2635.0,Magnus Norman
105179,2001-04-16,1,103498,4270.0,Marat Safin
105180,2001-04-16,2,102856,4150.0,Gustavo Kuerten
105181,2001-04-16,3,101736,3630.0,Andre Agassi
105182,2001-04-16,4,101948,2840.0,Pete Sampras
105183,2001-04-16,5,102796,2635.0,Magnus Norman
106775,2001-04-23,1,102856,4645.0,Gustavo Kuerten
106776,2001-04-23,2,103498,4270.0,Marat Safin
106777,2001-04-23,3,101736,3630.0,Andre Agassi
106778,2001-04-23,4,101948,2840.0,Pete Sampras
106779,2001-04-23,5,102796,2635.0,Magnus Norman
108369,2001-04-30,1,102856,4645.0,Gustavo Kuerten
108370,2001-04-30,2,103498,4145.0,Marat Safin
108371,2001-04-30,3,101736,3630.0,Andre Agassi
108372,2001-04-30,4,101948,2840.0,Pete Sampras
108373,2001-04-30,5,102796,2620.0,Magnus Norman
109961,2001-05-07,1,102856,4645.0,Gustavo Kuerten
109962,2001-05-07,2,103498,4080.0,Marat Safin
109963,2001-05-07,3,101736,3630.0,Andre Agassi
109964,2001-05-07,4,101948,2840.0,Pete Sampras
109965,2001-05-07,5,102796,2620.0,Magnus Norman
111553,2001-05-14,1,102856,4645.0,Gustavo Kuerten
111554,2001-05-14,2,103498,4080.0,Marat Safin
111555,2001-05-14,3,101736,3560.0,Andre Agassi
111556,2001-05-14,4,101948,2845.0,Pete Sampras
111557,2001-05-14,5,102338,2605.0,Yevgeny Kafelnikov
113150,2001-05-21,1,102856,4150.0,Gustavo Kuerten
113151,2001-05-21,2,103498,3765.0,Marat Safin
113152,2001-05-21,3,101736,3595.0,Andre Agassi
113153,2001-05-21,4,103507,2830.0,Juan Carlos Ferrero
113154,2001-05-21,5,101948,2815.0,Pete Sampras
114755,2001-05-28,1,102856,4150.0,Gustavo Kuerten
114756,2001-05-28,2,103498,3765.0,Marat Safin
114757,2001-05-28,3,101736,3595.0,Andre Agassi
114758,2001-05-28,4,103507,2830.0,Juan Carlos Ferrero
114759,2001-05-28,5,101948,2815.0,Pete Sampras
116363,2001-06-04,1,102856,4150.0,Gustavo Kuerten
116364,2001-06-04,2,103498,3765.0,Marat Safin
116365,2001-06-04,3,101736,3595.0,Andre Agassi
116366,2001-06-04,4,103507,2830.0,Juan Carlos Ferrero
116367,2001-06-04,5,101948,2815.0,Pete Sampras
117970,2001-06-11,1,102856,4150.0,Gustavo Kuerten
117971,2001-06-11,2,101736,3810.0,Andre Agassi
117972,2001-06-11,3,103498,3590.0,Marat Safin
117973,2001-06-11,4,101948,2845.0,Pete Sampras
117974,2001-06-11,5,103507,2830.0,Juan Carlos Ferrero
119594,2001-06-18,1,102856,4150.0,Gustavo Kuerten
119595,2001-06-18,2,101736,3795.0,Andre Agassi
119596,2001-06-18,3,103498,3590.0,Marat Safin
119597,2001-06-18,4,103507,2830.0,Juan Carlos Ferrero
119598,2001-06-18,5,101948,2790.0,Pete Sampras
121219,2001-06-25,1,102856,4150.0,Gustavo Kuerten
121220,2001-06-25,2,101736,3795.0,Andre Agassi
121221,2001-06-25,3,103498,3590.0,Marat Safin
121222,2001-06-25,4,103507,2830.0,Juan Carlos Ferrero
121223,2001-06-25,5,103720,2815.0,Lleyton Hewitt
122838,2001-07-02,1,102856,4150.0,Gustavo Kuerten
122839,2001-07-02,2,101736,3795.0,Andre Agassi
122840,2001-07-02,3,103498,3590.0,Marat Safin
122841,2001-07-02,4,103507,2830.0,Juan Carlos Ferrero
122842,2001-07-02,5,103720,2815.0,Lleyton Hewitt
124455,2001-07-09,1,102856,4075.0,Gustavo Kuerten
124456,2001-07-09,2,103498,3805.0,Marat Safin
124457,2001-07-09,3,101736,3795.0,Andre Agassi
124458,2001-07-09,4,103720,2960.0,Lleyton Hewitt
124459,2001-07-09,5,103507,2905.0,Juan Carlos Ferrero
126067,2001-07-16,1,102856,4075.0,Gustavo Kuerten
126068,2001-07-16,2,103498,3805.0,Marat Safin
126069,2001-07-16,3,101736,3795.0,Andre Agassi
126070,2001-07-16,4,103507,3025.0,Juan Carlos Ferrero
126071,2001-07-16,5,103720,2960.0,Lleyton Hewitt
127676,2001-07-23,1,102856,4265.0,Gustavo Kuerten
127677,2001-07-23,2,103498,3805.0,Marat Safin
127678,2001-07-23,3,101736,3795.0,Andre Agassi
127679,2001-07-23,4,103507,3025.0,Juan Carlos Ferrero
127680,2001-07-23,5,103720,2960.0,Lleyton Hewitt
129291,2001-07-30,1,102856,4265.0,Gustavo Kuerten
129292,2001-07-30,2,101736,3965.0,Andre Agassi
129293,2001-07-30,3,103498,3805.0,Marat Safin
129294,2001-07-30,4,103507,3025.0,Juan Carlos Ferrero
129295,2001-07-30,5,103720,2960.0,Lleyton Hewitt
130909,2001-08-06,1,102856,4305.0,Gustavo Kuerten
130910,2001-08-06,2,101736,3965.0,Andre Agassi
130911,2001-08-06,3,103498,3310.0,Marat Safin
130912,2001-08-06,4,103507,3075.0,Juan Carlos Ferrero
130913,2001-08-06,5,103720,2960.0,Lleyton Hewitt
132523,2001-08-13,1,102856,4580.0,Gustavo Kuerten
132524,2001-08-13,2,101736,3935.0,Andre Agassi
132525,2001-08-13,3,103498,3240.0,Marat Safin
132526,2001-08-13,4,103720,3180.0,Lleyton Hewitt
132527,2001-08-13,5,103507,3105.0,Juan Carlos Ferrero
134137,2001-08-20,1,102856,4505.0,Gustavo Kuerten
134138,2001-08-20,2,101736,3870.0,Andre Agassi
134139,2001-08-20,3,103498,3175.0,Marat Safin
134140,2001-08-20,4,103720,3145.0,Lleyton Hewitt
134141,2001-08-20,5,103507,3105.0,Juan Carlos Ferrero
135759,2001-08-27,1,102856,4505.0,Gustavo Kuerten
135760,2001-08-27,2,101736,3870.0,Andre Agassi
135761,2001-08-27,3,103498,3175.0,Marat Safin
135762,2001-08-27,4,103720,3145.0,Lleyton Hewitt
135763,2001-08-27,5,103507,3105.0,Juan Carlos Ferrero
137381,2001-09-03,1,102856,4505.0,Gustavo Kuerten
137382,2001-09-03,2,101736,3870.0,Andre Agassi
137383,2001-09-03,3,103498,3175.0,Marat Safin
137384,2001-09-03,4,103720,3145.0,Lleyton Hewitt
137385,2001-09-03,5,103507,3105.0,Juan Carlos Ferrero
139001,2001-09-10,1,102856,4750.0,Gustavo Kuerten
139002,2001-09-10,2,101736,4085.0,Andre Agassi
139003,2001-09-10,3,103720,3695.0,Lleyton Hewitt
139004,2001-09-10,4,102158,3065.0,Patrick Rafter
139005,2001-09-10,5,103507,3030.0,Juan Carlos Ferrero
140632,2001-09-17,1,102856,4750.0,Gustavo Kuerten
140633,2001-09-17,2,101736,4085.0,Andre Agassi
140634,2001-09-17,3,103720,3695.0,Lleyton Hewitt
140635,2001-09-17,4,102158,3065.0,Patrick Rafter
140636,2001-09-17,5,103507,3030.0,Juan Carlos Ferrero
142259,2001-09-24,1,102856,4750.0,Gustavo Kuerten
142260,2001-09-24,2,101736,4085.0,Andre Agassi
142261,2001-09-24,3,103720,3695.0,Lleyton Hewitt
142262,2001-09-24,4,102158,3065.0,Patrick Rafter
142263,2001-09-24,5,103507,3030.0,Juan Carlos Ferrero
143926,2001-10-01,1,102856,4725.0,Gustavo Kuerten
143927,2001-10-01,2,101736,4085.0,Andre Agassi
143928,2001-10-01,3,103720,3695.0,Lleyton Hewitt
143929,2001-10-01,4,102158,3065.0,Patrick Rafter
143930,2001-10-01,5,103507,2990.0,Juan Carlos Ferrero
145585,2001-10-08,1,102856,4725.0,Gustavo Kuerten
145586,2001-10-08,2,101736,4085.0,Andre Agassi
145587,2001-10-08,3,103720,3870.0,Lleyton Hewitt
145588,2001-10-08,4,102158,3015.0,Patrick Rafter
145589,2001-10-08,5,103507,2990.0,Juan Carlos Ferrero
147237,2001-10-15,1,102856,4725.0,Gustavo Kuerten
147238,2001-10-15,2,101736,4085.0,Andre Agassi
147239,2001-10-15,3,103720,3870.0,Lleyton Hewitt
147240,2001-10-15,4,102158,3015.0,Patrick Rafter
147241,2001-10-15,5,103507,2990.0,Juan Carlos Ferrero
148883,2001-10-22,1,102856,4655.0,Gustavo Kuerten
148884,2001-10-22,2,101736,4085.0,Andre Agassi
148885,2001-10-22,3,103720,3985.0,Lleyton Hewitt
148886,2001-10-22,4,102158,3010.0,Patrick Rafter
148887,2001-10-22,5,103507,2990.0,Juan Carlos Ferrero
150526,2001-10-29,1,102856,4655.0,Gustavo Kuerten
150527,2001-10-29,2,101736,4085.0,Andre Agassi
150528,2001-10-29,3,103720,3985.0,Lleyton Hewitt
