,ranking_date,rank,player,points,full_name
0,2000-01-10,1,101736,4135.0,Andre Agassi
1,2000-01-10,2,102338,2915.0,Yevgeny Kafelnikov
2,2000-01-10,3,101948,2419.0,Pete Sampras
3,2000-01-10,4,103017,2184.0,Nicolas Kiefer
4,2000-01-10,5,102856,2169.0,Gustavo Kuerten
1572,2000-01-17,1,101736,4135.0,Andre Agassi
1573,2000-01-17,2,102338,2915.0,Yevgeny Kafelnikov
1574,2000-01-17,3,101948,2419.0,Pete Sampras
1575,2000-01-17,4,103017,2184.0,Nicolas Kiefer
1576,2000-01-17,5,102856,2116.0,Gustavo Kuerten
3143,2000-01-24,1,101736,4135.0,Andre Agassi
3144,2000-01-24,2,102338,2915.0,Yevgeny Kafelnikov
3145,2000-01-24,3,101948,2419.0,Pete Sampras
3146,2000-01-24,4,103017,2184.0,Nicolas Kiefer
3147,2000-01-24,5,102856,2116.0,Gustavo Kuerten
4713,2000-01-31,1,101736,5045.0,Andre Agassi
4714,2000-01-31,2,101948,2869.0,Pete Sampras
4715,2000-01-31,3,102338,2841.0,Yevgeny Kafelnikov
4716,2000-01-31,4,103017,2325.0,Nicolas Kiefer
4717,2000-01-31,5,102856,2101.0,Gustavo Kuerten
6287,2000-02-07,1,101736,5045.0,Andre Agassi
6288,2000-02-07,2,101948,2869.0,Pete Sampras
6289,2000-02-07,3,102338,2841.0,Yevgeny Kafelnikov
6290,2000-02-07,4,103017,2325.0,Nicolas Kiefer
6291,2000-02-07,5,102856,2101.0,Gustavo Kuerten
7861,2000-02-14,1,101736,5045.0,Andre Agassi
7862,2000-02-14,2,102338,2841.0,Yevgeny Kafelnikov
7863,2000-02-14,3,101948,2811.0,Pete Sampras
7864,2000-02-14,4,103017,2406.0,Nicolas Kiefer
7865,2000-02-14,5,102796,2078.0,Magnus Norman
9431,2000-02-21,1,101736,5045.0,Andre Agassi
9432,2000-02-21,2,101948,2811.0,Pete Sampras
9433,2000-02-21,3,102338,2670.0,Yevgeny Kafelnikov
9434,2000-02-21,4,103017,2435.0,Nicolas Kiefer
9435,2000-02-21,5,102796,2137.0,Magnus Norman
11001,2000-02-28,1,101736,5045.0,Andre Agassi
11002,2000-02-28,2,101948,2811.0,Pete Sampras
11003,2000-02-28,3,102338,2783.0,Yevgeny Kafelnikov
11004,2000-02-28,4,103017,2425.0,Nicolas Kiefer
11005,2000-02-28,5,102796,2137.0,Magnus Norman
12574,2000-03-06,1,101736,4964.0,Andre Agassi
12575,2000-03-06,2,101948,2793.0,Pete Sampras
12576,2000-03-06,3,102338,2783.0,Yevgeny Kafelnikov
12577,2000-03-06,4,103017,2425.0,Nicolas Kiefer
12578,2000-03-06,5,102856,2254.0,Gustavo Kuerten
14155,2000-03-13,1,101736,4979.0,Andre Agassi
14156,2000-03-13,2,101948,2807.0,Pete Sampras
14157,2000-03-13,3,102338,2783.0,Yevgeny Kafelnikov
14158,2000-03-13,4,103017,2367.0,Nicolas Kiefer
14159,2000-03-13,5,102796,2137.0,Magnus Norman
15739,2000-03-20,1,101736,4984.0,Andre Agassi
15740,2000-03-20,2,101948,2932.0,Pete Sampras
15741,2000-03-20,3,102338,2792.0,Yevgeny Kafelnikov
15742,2000-03-20,4,103017,2352.0,Nicolas Kiefer
15743,2000-03-20,5,102796,2257.0,Magnus Norman
17333,2000-03-27,1,101736,4984.0,Andre Agassi
17334,2000-03-27,2,101948,2932.0,Pete Sampras
17335,2000-03-27,3,102338,2792.0,Yevgeny Kafelnikov
17336,2000-03-27,4,103017,2352.0,Nicolas Kiefer
17337,2000-03-27,5,102796,2257.0,Magnus Norman
18926,2000-04-03,1,101736,5208.0,Andre Agassi
18927,2000-04-03,2,101948,3334.0,Pete Sampras
18928,2000-04-03,3,102338,2831.0,Yevgeny Kafelnikov
18929,2000-04-03,4,102856,2472.0,Gustavo Kuerten
18930,2000-04-03,5,102796,2274.0,Magnus Norman
20521,2000-04-10,1,101736,5059.0,Andre Agassi
20522,2000-04-10,2,101948,3334.0,Pete Sampras
20523,2000-04-10,3,102338,2831.0,Yevgeny Kafelnikov
20524,2000-04-10,4,102856,2455.0,Gustavo Kuerten
20525,2000-04-10,5,102796,2274.0,Magnus Norman
22117,2000-04-17,1,101736,5074.0,Andre Agassi
22118,2000-04-17,2,101948,3334.0,Pete Sampras
22119,2000-04-17,3,102338,2831.0,Yevgeny Kafelnikov
22120,2000-04-17,4,102856,2455.0,Gustavo Kuerten
22121,2000-04-17,5,102796,2275.0,Magnus Norman
23711,2000-04-24,1,101736,5074.0,Andre Agassi
23712,2000-04-24,2,101948,3334.0,Pete Sampras
23713,2000-04-24,3,102338,2828.0,Yevgeny Kafelnikov
23714,2000-04-24,4,102796,2194.0,Magnus Norman
23715,2000-04-24,5,102856,2081.0,Gustavo Kuerten
25299,2000-05-01,1,101736,5074.0,Andre Agassi
25300,2000-05-01,2,101948,3334.0,Pete Sampras
25301,2000-05-01,3,102338,2828.0,Yevgeny Kafelnikov
25302,2000-05-01,4,102796,2314.0,Magnus Norman
25303,2000-05-01,5,102856,2081.0,Gustavo Kuerten
26881,2000-05-08,1,101736,5074.0,Andre Agassi
26882,2000-05-08,2,101948,3334.0,Pete Sampras
26883,2000-05-08,3,102338,2828.0,Yevgeny Kafelnikov
26884,2000-05-08,4,102796,2314.0,Magnus Norman
26885,2000-05-08,5,101611,2061.0,Cedric Pioline
28473,2000-05-15,1,101736,5100.0,Andre Agassi
28474,2000-05-15,2,101948,3308.0,Pete Sampras
28475,2000-05-15,3,102338,2821.0,Yevgeny Kafelnikov
28476,2000-05-15,4,102796,2785.0,Magnus Norman
28477,2000-05-15,5,101611,2095.0,Cedric Pioline
30068,2000-05-22,1,101736,5085.0,Andre Agassi
30069,2000-05-22,2,101948,3343.0,Pete Sampras
30070,2000-05-22,3,102796,2868.0,Magnus Norman
30071,2000-05-22,4,102338,2758.0,Yevgeny Kafelnikov
30072,2000-05-22,5,102856,2382.0,Gustavo Kuerten
31662,2000-05-29,1,101736,5085.0,Andre Agassi
31663,2000-05-29,2,101948,3343.0,Pete Sampras
31664,2000-05-29,3,102796,2868.0,Magnus Norman
31665,2000-05-29,4,102338,2758.0,Yevgeny Kafelnikov
31666,2000-05-29,5,102856,2382.0,Gustavo Kuerten
33269,2000-06-05,1,101736,5085.0,Andre Agassi
33270,2000-06-05,2,101948,3343.0,Pete Sampras
33271,2000-06-05,3,102796,2868.0,Magnus Norman
33272,2000-06-05,4,102338,2758.0,Yevgeny Kafelnikov
33273,2000-06-05,5,102856,2382.0,Gustavo Kuerten
34875,2000-06-12,1,101736,4370.0,Andre Agassi
34876,2000-06-12,2,102796,3522.0,Magnus Norman
34877,2000-06-12,3,102856,3211.0,Gustavo Kuerten
34878,2000-06-12,4,101948,3106.0,Pete Sampras
34879,2000-06-12,5,102338,2965.0,Yevgeny Kafelnikov
36464,2000-06-19,1,101736,4375.0,Andre Agassi
36465,2000-06-19,2,102796,3522.0,Magnus Norman
36466,2000-06-19,3,101948,3261.0,Pete Sampras
