,match_id,match_date,player,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
67,20251121-M-Davis_Cup_Finals-RR-Flavio_Cobolli-Zizou_Bergs,2025-11-21,Zizou Bergs,3,85,67,30,13,3,2,138,42,18,11,2,51,29,19
74,20251116-M-Tour_Finals-F-Carlos_Alcaraz-Jannik_Sinner,2025-11-16,Carlos Alcaraz,0,49,36,23,13,2,0,78,23,41,22,2,32,17,15
75,20251116-M-Tour_Finals-F-Carlos_Alcaraz-Jannik_Sinner,2025-11-16,Jannik Sinner,5,43,36,35,19,3,2,72,23,37,14,3,24,8,11
80,20251115-M-Tour_Finals-SF-Carlos_Alcaraz-Felix_Auger_Aliassime,2025-11-15,Carlos Alcaraz,1,38,31,13,7,1,1,57,24,35,15,4,15,5,9
81,20251115-M-Tour_Finals-SF-Carlos_Alcaraz-Felix_Auger_Aliassime,2025-11-15,Felix Auger Aliassime,1,41,24,16,9,8,5,51,13,21,3,5,21,12,8
86,20251115-M-Tour_Finals-SF-Alex_De_Minaur-Jannik_Sinner,2025-11-15,Alex De Minaur,2,47,29,41,19,13,10,59,15,19,7,4,28,16,10
87,20251115-M-Tour_Finals-SF-Alex_De_Minaur-Jannik_Sinner,2025-11-15,Jannik Sinner,0,44,37,15,7,4,4,88,40,29,12,10,27,13,14
92,20251114-M-Tour_Finals-RR-Taylor_Fritz-Alex_De_Minaur,2025-11-14,Taylor Fritz,1,41,27,28,15,4,2,66,20,18,4,5,28,18,9
93,20251114-M-Tour_Finals-RR-Taylor_Fritz-Alex_De_Minaur,2025-11-14,Alex De Minaur,3,36,30,30,16,1,0,69,27,24,15,3,25,11,11
98,20251113-M-Tour_Finals-RR-Carlos_Alcaraz-Lorenzo_Musetti,2025-11-13,Carlos Alcaraz,0,35,30,15,8,2,2,56,25,35,19,4,22,10,12
99,20251113-M-Tour_Finals-RR-Carlos_Alcaraz-Lorenzo_Musetti,2025-11-13,Lorenzo Musetti,0,36,19,20,12,5,2,50,12,18,2,2,19,8,11
104,20251112-M-Tour_Finals-RR-Jannik_Sinner-Alexander_Zverev,2025-11-12,Jannik Sinner,0,48,40,20,7,7,7,52,18,28,14,2,8,2,6
105,20251112-M-Tour_Finals-RR-Jannik_Sinner-Alexander_Zverev,2025-11-12,Alexander Zverev,0,43,31,9,3,4,2,68,21,17,6,4,12,8,4
110,20251111-M-Tour_Finals-RR-Alex_De_Minaur-Lorenzo_Musetti,2025-11-11,Alex De Minaur,0,74,48,36,22,12,9,90,30,33,19,4,42,27,15
111,20251111-M-Tour_Finals-RR-Alex_De_Minaur-Lorenzo_Musetti,2025-11-11,Lorenzo Musetti,3,59,37,31,23,5,3,110,40,19,9,5,31,14,14
118,20251110-M-Tour_Finals-RR-Taylor_Fritz-Lorenzo_Musetti,2025-11-10,Taylor Fritz,0,37,31,19,12,4,4,86,37,34,13,8,21,14,7
119,20251110-M-Tour_Finals-RR-Taylor_Fritz-Lorenzo_Musetti,2025-11-10,Lorenzo Musetti,5,56,37,30,12,12,10,56,13,27,12,5,25,12,8
124,20251108-M-Athens-F-Novak_Djokovic-Lorenzo_Musetti,2025-11-08,Novak Djokovic,3,61,43,36,21,9,6,96,36,37,19,9,30,12,15
125,20251108-M-Athens-F-Novak_Djokovic-Lorenzo_Musetti,2025-11-08,Lorenzo Musetti,3,61,40,35,20,10,6,97,33,38,15,10,35,17,15
132,20251107-M-Lima_CH-QF-Marcelo_Tomas_Barrios_Vera-Juan_Bautista_Torres,2025-11-07,Marcelo Tomas Barrios Vera,4,85,55,57,28,15,9,161,71,48,34,14,58,33,21
133,20251107-M-Lima_CH-QF-Marcelo_Tomas_Barrios_Vera-Juan_Bautista_Torres,2025-11-07,Juan Bautista Torres,1,125,78,36,12,12,6,142,59,42,27,12,57,20,36
140,20251107-M-Athens-SF-Sebastian_Korda-Lorenzo_Musetti,2025-11-07,Sebastian Korda,4,49,31,35,19,7,2,102,38,32,15,7,33,16,13
141,20251107-M-Athens-SF-Sebastian_Korda-Lorenzo_Musetti,2025-11-07,Lorenzo Musetti,3,74,50,28,14,5,3,84,34,31,12,6,27,13,11
148,20251107-M-Athens-SF-Novak_Djokovic-Yannick_Hanfmann,2025-11-07,Novak Djokovic,0,38,28,13,9,1,0,48,18,18,1,7,14,9,5
149,20251107-M-Athens-SF-Novak_Djokovic-Yannick_Hanfmann,2025-11-07,Yannick Hanfmann,0,35,24,13,6,6,3,51,14,19,6,3,22,10,12
154,20251105-M-Metz-R16-Moez_Echargui-Learner_Tien,2025-11-05,Moez Echargui,1,50,32,27,15,11,9,68,19,22,11,4,24,13,10
155,20251105-M-Metz-R16-Moez_Echargui-Learner_Tien,2025-11-05,Learner Tien,4,37,32,31,17,4,3,77,30,31,15,7,30,18,8
160,20251104-M-Athens-R16-Alejandro_Tabilo-Novak_Djokovic,2025-11-04,Alejandro Tabilo,1,47,28,15,8,5,3,59,12,12,4,4,19,12,6
161,20251104-M-Athens-R16-Alejandro_Tabilo-Novak_Djokovic,2025-11-04,Novak Djokovic,0,37,34,22,13,1,1,62,26,26,12,1,13,8,5
166,20251103-M-Metz-R32-Jan_Choinski-Lorenzo_Sonego,2025-11-03,Jan Choinski,2,63,47,31,11,6,3,86,27,27,12,7,37,23,12
167,20251103-M-Metz-R32-Jan_Choinski-Lorenzo_Sonego,2025-11-03,Lorenzo Sonego,0,59,44,27,15,7,5,94,36,36,17,5,25,12,13
174,20251102-M-Paris_Masters-F-Felix_Auger_Aliassime-Jannik_Sinner,2025-11-02,Felix Auger Aliassime,2,47,38,26,12,6,5,61,10,34,12,1,29,14,13
175,20251102-M-Paris_Masters-F-Felix_Auger_Aliassime-Jannik_Sinner,2025-11-02,Jannik Sinner,2,44,40,17,11,0,0,73,23,37,17,2,15,5,8
180,20251102-M-Athens-R32-Stefanos_Sakellaridis-Nuno_Borges,2025-11-02,Stefanos Sakellaridis,2,30,26,31,18,2,1,64,12,19,4,0,22,9,11
181,20251102-M-Athens-R32-Stefanos_Sakellaridis-Nuno_Borges,2025-11-02,Nuno Borges,0,47,42,17,10,0,0,61,17,25,15,6,22,11,11
186,20251102-M-Athens-R32-Sebastian_Korda-Alexei_Popyrin,2025-11-02,Sebastian Korda,1,53,41,29,19,4,3,86,29,39,18,7,23,12,10
187,20251102-M-Athens-R32-Sebastian_Korda-Alexei_Popyrin,2025-11-02,Alexei Popyrin,4,55,43,31,14,5,3,82,22,38,13,3,26,13,9
194,20251101-M-Paris_Masters-SF-Alexander_Zverev-Jannik_Sinner,2025-11-01,Alexander Zverev,0,33,16,16,3,9,3,31,7,11,2,2,22,10,12
195,20251101-M-Paris_Masters-SF-Alexander_Zverev-Jannik_Sinner,2025-11-01,Jannik Sinner,0,21,19,10,5,0,0,49,30,29,13,2,10,4,6
200,20251031-M-Paris_Masters-QF-Valentin_Vacherot-Felix_Auger_Aliassime,2025-10-31,Valentin Vacherot,2,36,19,25,12,8,4,39,6,10,3,2,17,8,7
201,20251031-M-Paris_Masters-QF-Valentin_Vacherot-Felix_Auger_Aliassime,2025-10-31,Felix Auger Aliassime,0,27,24,12,9,2,2,61,30,22,16,3,8,7,1
206,20251031-M-Paris_Masters-QF-Ben_Shelton-Jannik_Sinner,2025-10-31,Ben Shelton,5,35,23,16,5,8,4,40,8,14,3,3,22,12,5
207,20251031-M-Paris_Masters-QF-Ben_Shelton-Jannik_Sinner,2025-10-31,Jannik Sinner,0,30,24,10,8,1,0,51,23,17,7,5,10,9,1
212,20251030-M-Paris_Masters-R16-Valentin_Vacherot-Cameron_Norrie,2025-10-30,Valentin Vacherot,0,51,44,26,10,5,5,57,11,18,11,2,22,12,10
213,20251030-M-Paris_Masters-R16-Valentin_Vacherot-Cameron_Norrie,2025-10-30,Cameron Norrie,0,45,37,12,9,1,0,77,23,17,9,4,14,9,5
218,20251029-M-Paris_Masters-R32-Alejandro_Davidovich_Fokina-Arthur_Cazaux,2025-10-29,Alejandro Davidovich Fokina,5,49,40,26,13,4,4,84,29,31,15,10,31,13,13
219,20251029-M-Paris_Masters-R32-Alejandro_Davidovich_Fokina-Arthur_Cazaux,2025-10-29,Arthur Cazaux,4,45,36,39,19,6,5,75,22,24,12,1,24,13,7
224,20251028-M-Paris_Masters-R64-Jaume_Munar-Daniil_Medvedev,2025-10-28,Jaume Munar,3,26,15,19,8,7,3,53,17,21,9,4,14,6,5
225,20251028-M-Paris_Masters-R64-Jaume_Munar-Daniil_Medvedev,2025-10-28,Daniil Medvedev,3,36,29,17,7,0,0,45,22,32,15,4,16,8,5
230,20251028-M-Paris_Masters-R32-Cameron_Norrie-Carlos_Alcaraz,2025-10-28,Cameron Norrie,1,52,41,40,24,5,4,95,36,17,11,3,18,8,9
231,20251028-M-Paris_Masters-R32-Cameron_Norrie-Carlos_Alcaraz,2025-10-28,Carlos Alcaraz,2,58,37,37,22,7,5,92,27,33,19,6,38,21,15
238,20251027-M-Paris_Masters-R64-Arthur_Cazaux-Luciano_Darderi,2025-10-27,Arthur Cazaux,2,53,46,34,13,3,1,82,27,34,9,7,29,11,16
239,20251027-M-Paris_Masters-R64-Arthur_Cazaux-Luciano_Darderi,2025-10-27,Luciano Darderi,4,48,38,34,17,7,5,87,28,23,14,3,28,13,11
244,20251026-M-Vienna-F-Alexander_Zverev-Jannik_Sinner,2025-10-26,Alexander Zverev,4,77,55,25,11,8,6,84,21,28,13,4,35,19,12
245,20251026-M-Vienna-F-Alexander_Zverev-Jannik_Sinner,2025-10-26,Jannik Sinner,1,56,47,28,16,4,3,102,36,44,22,11,26,15,10
252,20251026-M-Basel-F-Joao_Fonseca-Alejandro_Davidovich_Fokina,2025-10-26,Joao Fonseca,1,47,36,14,6,4,3,69,32,40,19,3,17,7,9
253,20251026-M-Basel-F-Joao_Fonseca-Alejandro_Davidovich_Fokina,2025-10-26,Alejandro Davidovich Fokina,0,50,30,19,7,13,10,61,19,26,9,4,23,16,7
258,20251025-M-Vienna-SF-Jannik_Sinner-Alex_De_Minaur,2025-10-25,Jannik Sinner,0,38,28,19,10,2,0,50,23,18,12,2,13,5,8
259,20251025-M-Vienna-SF-Jannik_Sinner-Alex_De_Minaur,2025-10-25,Alex De Minaur,1,29,15,21,12,5,1,57,19,14,10,2,22,9,12
264,20251025-M-Basel-SF-Jaume_Munar-Joao_Fonseca,2025-10-25,Jaume Munar,1,50,38,30,14,3,1,75,20,39,14,7,17,7,9
265,20251025-M-Basel-SF-Jaume_Munar-Joao_Fonseca,2025-10-25,Joao Fonseca,1,48,41,27,14,1,0,80,28,53,28,5,26,15,10
270,20251024-M-Vienna-QF-Alexander_Bublik-Jannik_Sinner,2025-10-24,Alexander Bublik,4,43,30,26,12,8,6,45,5,21,7,4,18,9,5
271,20251024-M-Vienna-QF-Alexander_Bublik-Jannik_Sinner,2025-10-24,Jannik Sinner,0,30,28,15,12,0,0,69,27,21,10,3,4,2,2
276,20251024-M-Vienna-QF-Alex_De_Minaur-Matteo_Berrettini,2025-10-24,Alex De Minaur,2,45,33,27,10,3,1,65,32,21,11,6,30,15,13
277,20251024-M-Vienna-QF-Alex_De_Minaur-Matteo_Berrettini,2025-10-24,Matteo Berrettini,0,46,23,19,10,10,6,72,29,14,5,0,36,22,14
282,20251023-M-Vienna-R16-Flavio_Cobolli-Jannik_Sinner,2025-10-23,Flavio Cobolli,1,53,35,26,14,8,6,65,18,20,11,5,32,21,10
283,20251023-M-Vienna-R16-Flavio_Cobolli-Jannik_Sinner,2025-10-23,Jannik Sinner,1,42,29,23,18,0,0,79,30,12,6,2,31,20,10
288,20251022-M-Vienna-R32-Daniel_Altmaier-Jannik_Sinner,2025-10-22,Daniel Altmaier,1,26,14,19,4,6,1,32,4,14,5,1,22,8,13
289,20251022-M-Vienna-R32-Daniel_Altmaier-Jannik_Sinner,2025-10-22,Jannik Sinner,0,19,18,13,10,0,0,45,27,22,11,3,7,5,2
294,20251021-M-Basel-R32-Giovanni_Mpetshi_Perricard-Joao_Fonseca,2025-10-21,Giovanni Mpetshi Perricard,0,51,33,15,12,2,1,68,16,42,12,4,20,13,7
295,20251021-M-Basel-R32-Giovanni_Mpetshi_Perricard-Joao_Fonseca,2025-10-21,Joao Fonseca,1,46,37,22,15,0,0,66,21,42,16,6,13,6,6
300,20251019-M-Stockholm-F-Casper_Ruud-Ugo_Humbert,2025-10-19,Casper Ruud,0,24,22,15,14,0,0,49,22,23,14,6,12,6,6
301,20251019-M-Stockholm-F-Casper_Ruud-Ugo_Humbert,2025-10-19,Ugo Humbert,1,34,20,15,7,6,3,39,3,15,4,6,21,8,12
306,20251019-M-Hersonissos_CH-F-Maxim_Mrva-Harry_Wendelken,2025-10-19,Maxim Mrva,5,33,18,33,10,17,11,68,30,14,8,3,54,31,18
307,20251019-M-Hersonissos_CH-F-Maxim_Mrva-Harry_Wendelken,2025-10-19,Harry Wendelken,2,39,25,29,13,12,9,66,38,7,2,4,21,12,7
312,20251019-M-Almaty-F-Daniil_Medvedev-Corentin_Moutet,2025-10-19,Daniil Medvedev,5,66,46,28,13,5,2,96,39,34,18,8,34,14,15
313,20251019-M-Almaty-F-Daniil_Medvedev-Corentin_Moutet,2025-10-19,Corentin Moutet,0,69,44,27,13,9,5,94,35,31,22,6,25,15,10
320,20251018-M-Stockholm-SF-Casper_Ruud-Denis_Shapovalov,2025-10-18,Casper Ruud,1,41,34,22,9,5,4,54,22,23,13,6,15,7,7
321,20251018-M-Stockholm-SF-Casper_Ruud-Denis_Shapovalov,2025-10-18,Denis Shapovalov,4,33,23,21,9,6,3,63,20,22,12,3,23,9,10
326,20251018-M-Six_Kings_Slam-F-Carlos_Alcaraz-Jannik_Sinner,2025-10-18,Carlos Alcaraz,3,36,22,23,12,9,6,44,8,13,8,1,22,11,8
327,20251018-M-Six_Kings_Slam-F-Carlos_Alcaraz-Jannik_Sinner,2025-10-18,Jannik Sinner,0,26,21,18,15,0,0,59,25,18,11,4,21,10,11
332,20251018-M-Almaty-SF-James_Duckworth-Daniil_Medvedev,2025-10-18,James Duckworth,0,57,43,43,18,9,6,94,25,35,14,6,25,16,9
333,20251018-M-Almaty-SF-James_Duckworth-Daniil_Medvedev,2025-10-18,Daniil Medvedev,8,55,47,39,22,1,1,100,39,44,11,15,24,3,13
340,20251017-M-Stockholm-QF-Casper_Ruud-Sebastian_Korda,2025-10-17,Casper Ruud,3,58,46,42,24,7,6,109,39,35,17,3,33,13,17
341,20251017-M-Stockholm-QF-Casper_Ruud-Sebastian_Korda,2025-10-17,Sebastian Korda,4,67,48,42,22,3,0,100,30,43,16,10,44,12,28
348,20251017-M-Brussels-QF-Lorenzo_Musetti-Giovanni_Mpetshi_Perricard,2025-10-17,Lorenzo Musetti,3,53,40,16,9,3,2,62,11,36,10,6,13,7,3
349,20251017-M-Brussels-QF-Lorenzo_Musetti-Giovanni_Mpetshi_Perricard,2025-10-17,Giovanni Mpetshi Perricard,1,49,43,13,8,0,0,69,20,49,14,6,17,9,7
354,20251017-M-Almaty-QF-Fabian_Marozsan-Daniil_Medvedev,2025-10-17,Fabian Marozsan,1,39,25,14,7,4,1,59,14,25,6,5,20,15,4
355,20251017-M-Almaty-QF-Fabian_Marozsan-Daniil_Medvedev,2025-10-17,Daniil Medvedev,2,48,38,11,7,3,3,53,21,38,8,9,13,4,7
360,20251015-M-Stockholm-R16-Marin_Cilic-Casper_Ruud,2025-10-15,Marin Cilic,4,52,35,44,20,5,3,51,8,24,13,2,28,13,11
361,20251015-M-Stockholm-R16-Marin_Cilic-Casper_Ruud,2025-10-15,Casper Ruud,1,35,32,16,11,1,0,96,41,35,14,12,20,8,11
366,20251015-M-Brussels-R16-Francisco_Comesana-Raphael_Collignon,2025-10-15,Francisco Comesana,2,84,64,29,14,2,1,98,30,45,29,5,33,19,12
367,20251015-M-Brussels-R16-Francisco_Comesana-Raphael_Collignon,2025-10-15,Raphael Collignon,3,71,58,27,10,2,1,113,35,31,16,6,26,17,6
374,20251014-M-Hersonnisos_CH-R32-Harry_Wendelken-Michael_Geerts,2025-10-14,Harry Wendelken,3,64,48,62,34,12,9,119,46,39,17,10,36,22,11
375,20251014-M-Hersonnisos_CH-R32-Harry_Wendelken-Michael_Geerts,2025-10-14,Michael Geerts,5,74,49,45,24,13,9,126,44,44,31,7,55,32,18
382,20251014-M-Brussels-R32-Botic_Van_De_Zandschulp-Joao_Fonseca,2025-10-14,Botic Van De Zandschulp,3,48,42,24,9,4,2,96,41,32,13,3,32,13,16
383,20251014-M-Brussels-R32-Botic_Van_De_Zandschulp-Joao_Fonseca,2025-10-14,Joao Fonseca,3,56,37,40,18,8,5,72,21,21,11,3,27,15,9
388,20251014-M-Almaty-R32-Brandon_Nakashima-Hamad_Medjedovic,2025-10-14,Brandon Nakashima,0,44,35,15,11,3,3,71,24,37,8,2,10,6,4
389,20251014-M-Almaty-R32-Brandon_Nakashima-Hamad_Medjedovic,2025-10-14,Hamad Medjedovic,1,47,34,24,13,4,2,59,13,33,6,7,29,15,13
394,20251013-M-Stockholm-R32-Tallon_Griekspoor-Jacob_Fearnley,2025-10-13,Tallon Griekspoor,3,78,56,35,15,7,4,101,30,32,15,5,37,18,16
395,20251013-M-Stockholm-R32-Tallon_Griekspoor-Jacob_Fearnley,2025-10-13,Jacob Fearnley,5,58,45,43,26,3,2,113,42,33,12,14,23,12,6
402,20251013-M-Almaty-R32-Corentin_Moutet-Bernard_Tomic,2025-10-13,Corentin Moutet,3,52,40,32,17,4,4,80,33,27,12,9,24,11,10
403,20251013-M-Almaty-R32-Corentin_Moutet-Bernard_Tomic,2025-10-13,Bernard Tomic,1,56,35,24,12,8,6,84,27,25,17,6,27,13,13
408,20251012-M-Shanghai_Masters-F-Valentin_Vacherot-Arthur_Rinderknech,2025-10-12,Valentin Vacherot,1,49,38,23,17,1,0,89,32,29,14,7,17,11,5
409,20251012-M-Shanghai_Masters-F-Valentin_Vacherot-Arthur_Rinderknech,2025-10-12,Arthur Rinderknech,2,63,43,26,14,14,11,72,17,39,15,10,30,20,8
416,20251011-M-Shanghai_Masters-SF-Valentin_Vacherot-Novak_Djokovic,2025-10-11,Valentin Vacherot,4,37,29,20,11,2,1,61,27,23,11,6,14,3,7
417,20251011-M-Shanghai_Masters-SF-Valentin_Vacherot-Novak_Djokovic,2025-10-11,Novak Djokovic,5,38,23,23,11,6,3,57,17,9,2,2,20,4,11
422,20251010-M-Shanghai_Masters-QF-Alex_De_Minaur-Daniil_Medvedev,2025-10-10,Alex De Minaur,1,49,34,22,8,6,4,69,22,16,11,4,24,12,11
423,20251010-M-Shanghai_Masters-QF-Alex_De_Minaur-Daniil_Medvedev,2025-10-10,Daniil Medvedev,6,42,33,27,14,6,6,71,29,26,11,10,25,8,11
428,20251005-M-Shanghai_Masters-R32-Taylor_Fritz-Giovanni_Mpetshi_Perricard,2025-10-05,Taylor Fritz,1,42,33,19,11,6,4,57,12,23,11,1,7,3,3
429,20251005-M-Shanghai_Masters-R32-Taylor_Fritz-Giovanni_Mpetshi_Perricard,2025-10-05,Giovanni Mpetshi Perricard,2,40,32,17,13,0,0,61,17,33,13,4,12,5,5
434,20251005-M-Shanghai_Masters-R32-Tallon_Griekspoor-Jannik_Sinner,2025-10-05,Tallon Griekspoor,1,69,54,30,14,6,6,79,20,32,7,6,25,16,8
435,20251005-M-Shanghai_Masters-R32-Tallon_Griekspoor-Jannik_Sinner,2025-10-05,Jannik Sinner,2,59,44,20,15,3,1,99,31,35,18,7,23,9,12
442,20251004-M-Shanghai_Masters-R64-Francisco_Comesana-Lorenzo_Musetti,2025-10-04,Francisco Comesana,2,26,18,22,6,9,5,43,11,17,11,3,19,11,6
443,20251004-M-Shanghai_Masters-R64-Francisco_Comesana-Lorenzo_Musetti,2025-10-04,Lorenzo Musetti,0,26,21,17,11,0,0,48,24,18,9,8,9,2,7
448,20251003-M-Shanghai_Masters-R64-Novak_Djokovic-Marin_Cilic,2025-10-03,Novak Djokovic,2,49,41,24,14,4,4,56,15,21,10,1,8,0,6
449,20251003-M-Shanghai_Masters-R64-Novak_Djokovic-Marin_Cilic,2025-10-03,Marin Cilic,0,34,27,22,14,1,0,73,18,28,13,9,16,10,6
454,20251002-M-Shanghai_Masters-R128-Jesper_De_Jong-Yi_Zhou,2025-10-02,Jesper De Jong,3,61,48,33,17,2,1,89,28,33,14,6,25,14,8
455,20251002-M-Shanghai_Masters-R128-Jesper_De_Jong-Yi_Zhou,2025-10-02,Yi Zhou,0,63,52,26,9,4,1,94,29,37,14,5,27,12,15
462,20251001-M-Beijing-F-Learner_Tien-Jannik_Sinner,2025-10-01,Learner Tien,6,22,12,21,10,6,2,53,16,11,8,3,21,10,5
463,20251001-M-Beijing-F-Learner_Tien-Jannik_Sinner,2025-10-01,Jannik Sinner,1,35,27,18,10,2,2,43,21,24,12,2,16,9,6
468,20250930-M-Tokyo-F-Taylor_Fritz-Carlos_Alcaraz,2025-09-30,Taylor Fritz,3,39,27,27,11,9,6,63,22,30,9,5,21,13,5
469,20250930-M-Tokyo-F-Taylor_Fritz-Carlos_Alcaraz,2025-09-30,Carlos Alcaraz,3,40,31,23,10,3,2,66,28,40,16,8,21,7,11
474,20250930-M-Beijing-SF-Jannik_Sinner-Alex_De_Minaur,2025-09-30,Jannik Sinner,0,61,50,35,16,12,11,77,31,28,15,6,25,11,14
475,20250930-M-Beijing-SF-Jannik_Sinner-Alex_De_Minaur,2025-09-30,Alex De Minaur,1,52,29,25,17,7,4,96,30,19,12,2,19,6,12
482,20250929-M-Tokyo-SF-Taylor_Fritz-Jenson_Brooksby,2025-09-29,Taylor Fritz,0,46,39,16,7,2,2,58,21,34,14,3,14,4,10
483,20250929-M-Tokyo-SF-Taylor_Fritz-Jenson_Brooksby,2025-09-29,Jenson Brooksby,1,40,26,18,11,4,2,62,16,20,10,8,19,7,11
488,20250929-M-Tokyo-SF-Casper_Ruud-Carlos_Alcaraz,2025-09-29,Casper Ruud,2,64,44,26,15,9,7,80,24,43,9,5,29,11,16
489,20250929-M-Tokyo-SF-Casper_Ruud-Carlos_Alcaraz,2025-09-29,Carlos Alcaraz,2,51,40,29,16,4,3,90,31,51,21,11,31,15,14
496,20250928-M-Tokyo-QF-Casper_Ruud-Aleksandar_Vukic,2025-09-28,Casper Ruud,0,40,32,8,6,2,2,39,16,27,8,2,7,4,3
497,20250928-M-Tokyo-QF-Casper_Ruud-Aleksandar_Vukic,2025-09-28,Aleksandar Vukic,0,22,15,17,8,4,1,48,10,23,11,0,19,11,8
502,20250928-M-Tokyo-QF-Brandon_Nakashima-Carlos_Alcaraz,2025-09-28,Brandon Nakashima,0,46,32,18,5,7,4,45,8,23,5,2,12,8,4
503,20250928-M-Tokyo-QF-Brandon_Nakashima-Carlos_Alcaraz,2025-09-28,Carlos Alcaraz,1,30,25,15,12,0,0,64,27,46,25,13,16,9,6
508,20250928-M-Beijing-QF-Daniil_Medvedev-Alexander_Zverev,2025-09-28,Daniil Medvedev,5,35,30,17,9,4,4,57,24,25,8,4,14,3,6
509,20250928-M-Beijing-QF-Daniil_Medvedev-Alexander_Zverev,2025-09-28,Alexander Zverev,0,44,28,13,5,4,1,52,13,26,9,6,30,21,9
514,20250927-M-Tokyo-R16-Carlos_Alcaraz-Zizou_Bergs,2025-09-27,Carlos Alcaraz,2,37,25,23,9,6,3,52,26,32,15,3,16,9,5
515,20250927-M-Tokyo-R16-Carlos_Alcaraz-Zizou_Bergs,2025-09-27,Zizou Bergs,3,34,19,18,7,6,1,60,26,25,7,3,21,9,9
520,20250926-M-Tokyo-R16-Casper_Ruud-Matteo_Berrettini,2025-09-26,Casper Ruud,1,42,36,15,8,0,0,64,22,19,9,3,17,5,11
521,20250926-M-Tokyo-R16-Casper_Ruud-Matteo_Berrettini,2025-09-26,Matteo Berrettini,3,36,27,28,15,3,1,57,13,25,10,3,21,7,11
526,20250925-M-Tokyo-R32-Sebastian_Baez-Carlos_Alcaraz,2025-09-25,Sebastian Baez,2,40,25,14,5,5,1,56,20,24,10,3,20,9,9
527,20250925-M-Tokyo-R32-Sebastian_Baez-Carlos_Alcaraz,2025-09-25,Carlos Alcaraz,2,43,31,13,5,2,1,54,24,30,5,3,19,6,11
532,20250925-M-Beijing-R32-Marin_Cilic-Jannik_Sinner,2025-09-25,Marin Cilic,4,24,14,29,11,10,6,46,13,12,8,1,22,11,7
533,20250925-M-Beijing-R32-Marin_Cilic-Jannik_Sinner,2025-09-25,Jannik Sinner,0,36,27,10,6,1,1,53,28,15,8,4,10,4,6
