,match_id,match_date,player,dfs,first_in,first_won,second_in,second_won,bk_pts,bp_saved,return_pts,return_pts_won,winners,winners_fh,winners_bh,unforced,unforced_fh,unforced_bh
0,20251221-M-NextGen_Finals-F-Alexander_Blockx-Learner_Tien,2025-12-21,Alexander Blockx,1,38,28,10,3,1,0,52,11,19,8,3,23,14,8
1,20251221-M-NextGen_Finals-F-Alexander_Blockx-Learner_Tien,2025-12-21,Learner Tien,1,34,29,18,12,1,1,48,17,10,7,1,11,5,5
8,20251219-M-NextGen_Finals-RR-Nishesh_Basavareddy-Justin_Engel,2025-12-19,Nishesh Basavareddy,3,31,28,24,16,0,0,61,23,19,7,4,8,2,3
9,20251219-M-NextGen_Finals-RR-Nishesh_Basavareddy-Justin_Engel,2025-12-19,Justin Engel,1,44,32,17,6,4,3,55,11,22,10,3,18,11,6
16,20251217-M-NextGen_Finals-RR-Rafael_Jodar-Learner_Tien,2025-12-17,Rafael Jodar,2,64,41,31,10,14,7,80,30,24,16,4,44,27,15
17,20251217-M-NextGen_Finals-RR-Rafael_Jodar-Learner_Tien,2025-12-17,Learner Tien,5,48,33,32,17,6,4,95,44,21,10,6,36,20,11
28,20251217-M-NextGen_Finals-RR-Dino_Prizmic-Nishesh_Basavareddy,2025-12-17,Dino Prizmic,6,50,38,30,13,3,2,73,22,40,15,9,36,13,17
29,20251217-M-NextGen_Finals-RR-Dino_Prizmic-Nishesh_Basavareddy,2025-12-17,Nishesh Basavareddy,1,49,39,24,12,1,0,80,29,21,8,8,17,9,7
38,20251214-M-Dutch_Championships-F-Jesper_De_Jong-Daniel_De_Jonge,2025-12-14,Jesper De Jong,0,41,30,27,21,2,1,85,33,32,11,3,21,16,5
39,20251214-M-Dutch_Championships-F-Jesper_De_Jong-Daniel_De_Jonge,2025-12-14,Daniel De Jonge,3,50,32,35,20,6,4,68,17,28,12,3,29,16,10
44,20251123-M-Davis_Cup_Finals-RR-Matteo_Berrettini-Pablo_Carreno_Busta,2025-11-23,Matteo Berrettini,0,33,27,20,14,0,0,49,17,21,6,2,19,8,11
45,20251123-M-Davis_Cup_Finals-RR-Matteo_Berrettini-Pablo_Carreno_Busta,2025-11-23,Pablo Carreno Busta,1,33,25,16,7,7,5,53,12,9,4,2,25,14,10
50,20251123-M-Davis_Cup_Finals-RR-Jaume_Munar-Flavio_Cobolli,2025-11-23,Jaume Munar,1,72,54,39,21,14,12,85,27,27,14,4,29,18,10
51,20251123-M-Davis_Cup_Finals-RR-Jaume_Munar-Flavio_Cobolli,2025-11-23,Flavio Cobolli,0,50,36,35,22,4,1,111,36,34,26,4,37,27,10
58,20251121-M-NCAA_Individual_Finals-QF-Michael_Zheng-Ozan_Baris,2025-11-21,Michael Zheng,0,58,40,21,13,2,1,78,34,27,23,0,38,22,16
59,20251121-M-NCAA_Individual_Finals-QF-Michael_Zheng-Ozan_Baris,2025-11-21,Ozan Baris,4,46,32,32,12,5,3,79,26,15,8,2,40,18,18
66,20251121-M-Davis_Cup_Finals-RR-Flavio_Cobolli-Zizou_Bergs,2025-11-21,Flavio Cobolli,0,86,71,52,25,5,5,115,35,30,15,5,46,26,20
